Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
SEN,2009-01-01,2009-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,112.000000,Im
SEN,2010-01-01,2010-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,117.000000,Im
SEN,2011-01-01,2011-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,114.000000,Im
SEN,2012-01-01,2012-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,113.000000,Im
SEN,2013-01-01,2013-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,114.000000,Im
SEN,2014-01-01,2014-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,119.000000,Im
SEN,2015-01-01,2015-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,79.000000,Im
SEN,2016-01-01,2016-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,102.000000,Im
SEN,2017-01-01,2017-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,257.000000,Im
SEN,2018-01-01,2018-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,257.000000,Im
SEN,2019-01-01,2019-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,223.000000,Im
SEN,1991-01-01,1991-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,145000.000000,
SEN,1992-01-01,1992-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,150000.000000,
SEN,1993-01-01,1993-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,151000.000000,
SEN,1994-01-01,1994-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,174000.000000,
SEN,1995-01-01,1995-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,127000.000000,
SEN,1996-01-01,1996-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,122000.000000,
SEN,1997-01-01,1997-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,124000.000000,
SEN,1998-01-01,1998-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,126000.000000,
SEN,1999-01-01,1999-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,127000.000000,
SEN,2000-01-01,2000-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,128000.000000,
SEN,2001-01-01,2001-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,131000.000000,
SEN,2002-01-01,2002-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,134000.000000,
SEN,2003-01-01,2003-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,134000.000000,
SEN,2004-01-01,2004-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,135000.000000,
SEN,2005-01-01,2005-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,137000.000000,
SEN,2006-01-01,2006-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,140000.000000,
SEN,2007-01-01,2007-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,149000.000000,
SEN,2008-01-01,2008-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,157000.000000,
SEN,2009-01-01,2009-12-31,195,Senegal,125,Cassava,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,154000.000000,
